Date,Open,High,Low,Close,Adj Close,Volume,100ma
2010-06-29,19.0,25.0,17.540001,23.889999,23.889999,18766300,23.889999
2010-06-30,25.790001,30.42,23.299999,23.83,23.83,17187100,23.8599995
2010-07-01,25.0,25.92,20.27,21.959999,21.959999,8218800,23.226665999999998
2010-07-02,23.0,23.1,18.709999,19.200001,19.200001,5139800,22.21999975
2010-07-06,20.0,20.0,15.83,16.110001,16.110001,6866900,20.997999999999998
2010-07-07,16.4,16.629998999999998,14.98,15.8,15.8,6921700,20.131666666666664
2010-07-08,16.139999,17.52,15.57,17.459999,17.459999,7711400,19.749999857142857
2010-07-09,17.58,17.9,16.549999,17.4,17.4,4050600,19.456249875
2010-07-12,17.950001,18.07,17.0,17.049999,17.049999,2202500,19.188888666666667
2010-07-13,17.389999,18.639999,16.9,18.139999,18.139999,2680100,19.0839997
2010-07-14,17.940001000000002,20.15,17.76,19.84,19.84,4195200,19.152727
2010-07-15,19.940001000000002,21.5,19.0,19.889999,19.889999,3739800,19.21416633333333
2010-07-16,20.700001,21.299999,20.049999,20.639999,20.639999,2621300,19.323845769230765
2010-07-19,21.370001000000002,22.25,20.92,21.91,21.91,2486500,19.50857107142857
2010-07-20,21.85,21.85,20.049999,20.299999,20.299999,1825300,19.561332933333333
2010-07-21,20.66,20.9,19.5,20.219998999999998,20.219998999999998,1252500,19.602499562499997
2010-07-22,20.5,21.25,20.370001000000002,21.0,21.0,957800,19.68470547058823
2010-07-23,21.190001000000002,21.559998999999998,21.059998999999998,21.290001,21.290001,653600,19.773888555555555
2010-07-26,21.5,21.5,20.299999,20.950001,20.950001,922200,19.835789210526315
2010-07-27,20.91,21.18,20.26,20.549999,20.549999,619700,19.871499699999998
2010-07-28,20.549999,20.9,20.51,20.719998999999998,20.719998999999998,467200,19.911904428571425
2010-07-29,20.77,20.879998999999998,20.0,20.35,20.35,616000,19.93181786363636
2010-07-30,20.200001,20.440001000000002,19.549999,19.940001000000002,19.940001000000002,426900,19.932173652173912
2010-08-02,20.5,20.969998999999998,20.33,20.92,20.92,718100,19.973333083333333
2010-08-03,21.0,21.950001,20.82,21.950001,21.950001,1230500,20.0523998
2010-08-04,21.950001,22.18,20.85,21.26,21.26,913000,20.09884596153846
2010-08-05,21.540001,21.549999,20.049999,20.450001,20.450001,796200,20.111851703703703
2010-08-06,20.1,20.16,19.52,19.59,19.59,741900,20.093214142857143
2010-08-09,19.9,19.98,19.450001,19.6,19.6,812700,20.076206758620692
2010-08-10,19.65,19.65,18.82,19.030001000000002,19.030001000000002,1281300,20.041333233333333
2010-08-11,18.690001000000002,18.879998999999998,17.85,17.9,17.9,797600,19.972257967741935
2010-08-12,17.799999,17.9,17.389999,17.6,17.6,691000,19.89812490625
2010-08-13,18.18,18.450001,17.66,18.32,18.32,634000,19.85030293939394
2010-08-16,18.450001,18.799999,18.26,18.780001000000002,18.780001000000002,485800,19.818823470588235
2010-08-17,18.959999,19.4,18.780001000000002,19.15,19.15,447900,19.79971422857143
2010-08-18,19.59,19.59,18.6,18.77,18.77,601300,19.771111055555554
2010-08-19,18.540001,19.25,18.33,18.790001,18.790001,579100,19.744594567567567
2010-08-20,18.65,19.110001,18.51,19.1,19.1,296000,19.72763155263158
2010-08-23,19.09,20.389999,19.0,20.129998999999998,20.129998999999998,1088100,19.737948666666664
2010-08-24,19.25,19.709999,18.950001,19.200001,19.200001,673100,19.724499975
2010-08-25,19.16,19.98,18.559998999999998,19.9,19.9,503300,19.728780463414633
2010-08-26,19.889999,20.27,19.6,19.75,19.75,433800,19.72928569047619
2010-08-27,19.75,19.870001000000002,19.5,19.700001,19.700001,379600,19.72860465116279
2010-08-30,19.700001,20.190001000000002,19.610001,19.870001000000002,19.870001000000002,732800,19.731818204545455
2010-08-31,19.66,19.790001,19.33,19.48,19.48,201100,19.726222244444447
2010-09-01,19.620001000000002,20.690001000000002,19.6,20.450001,20.450001,494900,19.741956565217393
2010-09-02,20.370001000000002,21.24,20.309998999999998,21.059998999999998,21.059998999999998,487100,19.770000021276598
2010-09-03,20.870001000000002,21.299999,20.66,21.049999,21.049999,434600,19.796666666666667
2010-09-07,20.610001,21.0,20.5,20.540001,20.540001,243400,19.81183675510204
2010-09-08,20.66,20.950001,20.6,20.9,20.9,288400,19.83360002
2010-09-09,21.0,21.049999,20.690001000000002,20.709999,20.709999,376200,19.85078431372549
2010-09-10,20.75,20.93,19.76,20.17,20.17,386600,19.856923076923074
2010-09-13,20.889999,20.9,20.5,20.719998999999998,20.719998999999998,360800,19.873207528301883
2010-09-14,20.540001,21.6,20.530001000000002,21.120001000000002,21.120001000000002,654700,19.896296296296295
2010-09-15,20.98,22.0,20.790001,21.98,21.98,684600,19.934181818181816
2010-09-16,22.15,23.16,20.84,20.940001000000002,20.940001000000002,2684500,19.952142874999996
2010-09-17,21.02,21.32,19.799999,20.23,20.23,1198500,19.957017561403507
2010-09-20,20.67,21.35,20.16,21.059998999999998,21.059998999999998,947500,19.976034482758617
2010-09-21,20.889999,21.549999,20.67,20.77,20.77,796000,19.989491525423727
2010-09-22,20.870001000000002,20.950001,19.799999,19.870001000000002,19.870001000000002,962900,19.987500016666665
2010-09-23,19.889999,20.139999,19.5,19.559998999999998,19.559998999999998,668100,19.98049180327869
2010-09-24,19.950001,20.190001000000002,19.65,20.1,20.1,578900,19.982419354838708
2010-09-27,20.4,20.809998999999998,20.049999,20.530001000000002,20.530001000000002,418600,19.991111126984126
2010-09-28,21.040001,21.49,20.76,21.4,21.4,1214500,20.013125015625
2010-09-29,21.190001000000002,22.030001000000002,21.129998999999998,21.98,21.98,1969300,20.043384630769232
2010-09-30,22.0,22.15,20.190001000000002,20.41,20.41,2195800,20.04893940909091
2010-10-01,20.690001000000002,20.75,20.309998999999998,20.6,20.6,597700,20.057164194029852
2010-10-04,20.43,21.17,20.299999,20.99,20.99,643600,20.07088236764706
2010-10-05,21.15,21.280001000000002,21.01,21.120001000000002,21.120001000000002,332000,20.086086985507247
2010-10-06,21.059998999999998,21.26,20.32,20.459999,20.459999,313400,20.091428585714286
2010-10-07,20.57,20.639999,20.34,20.43,20.43,141000,20.0961971971831
2010-10-08,20.43,20.790001,20.389999,20.43,20.43,267800,20.100833347222224
2010-10-11,20.440001000000002,20.700001,20.07,20.24,20.24,171200,20.10273973972603
2010-10-12,20.200001,20.280001000000002,20.030001000000002,20.24,20.24,244000,20.10459460810811
2010-10-13,20.639999,20.85,20.360001,20.540001,20.540001,318200,20.11040002666667
2010-10-14,21.0,21.030001000000002,20.4,20.75,20.75,294800,20.118815815789475
